Date;Price
01/22/2023;1.627,03
01/21/2023;1.625,53
01/20/2023;1.659,98
01/19/2023;1.551,62
01/18/2023;1.511,31
01/17/2023;1.564,67
01/16/2023;1.576,94
01/15/2023;1.552,69
01/14/2023;1.550,02
01/13/2023;1.450,86
01/12/2023;1.416,08
01/11/2023;1.389,84
01/10/2023;1.335,13
01/09/2023;1.320,51
01/08/2023;1.288,38
01/07/2023;1.263,90
01/06/2023;1.269,14
01/05/2023;1.250,95
01/04/2023;1.256,92
01/03/2023;1.214,57
01/02/2023;1.213,93
01/01/2023;1.200,52
12/31/2022;1.195,67
12/30/2022;1.199,80
12/29/2022;1.200,84
12/28/2022;1.189,98
12/27/2022;1.211,60
12/26/2022;1.227,65
12/25/2022;1.218,69
12/24/2022;1.220,46
12/23/2022;1.220,03
12/22/2022;1.217,57
12/21/2022;1.213,85
12/20/2022;1.217,20
12/19/2022;1.167,80
12/18/2022;1.182,70
12/17/2022;1.187,18
12/16/2022;1.166,70
12/15/2022;1.266,32
12/14/2022;1.307,30
12/13/2022;1.320,76
12/12/2022;1.275,02
12/11/2022;1.263,42
12/10/2022;1.266,62
12/09/2022;1.262,86
12/08/2022;1.280,29
12/07/2022;1.231,04
12/06/2022;1.271,26
12/05/2022;1.259,56
12/04/2022;1.279,74
12/03/2022;1.240,46
12/02/2022;1.295,69
12/01/2022;1.276,05
11/30/2022;1.294,41
11/29/2022;1.216,55
11/28/2022;1.167,73
11/27/2022;1.193,38
11/26/2022;1.205,15
11/25/2022;1.198,12
11/24/2022;1.203,77
11/23/2022;1.185,79
11/22/2022;1.139,74
11/21/2022;1.107,46
11/20/2022;1.142,88
11/19/2022;1.217,65
11/18/2022;1.207,31
11/17/2022;1.205,17
11/16/2022;1.206,16
11/15/2022;1.253,45
11/14/2022;1.242,64
11/13/2022;1.221,47
11/12/2022;1.256,29
11/11/2022;1.288,63
11/10/2022;1.299,15
11/09/2022;1.100,84
11/08/2022;1.335,25
11/07/2022;1.567,57
11/06/2022;1.570,86
11/05/2022;1.627,07
11/04/2022;1.645,01
11/03/2022;1.531,08
11/02/2022;1.519,04
11/01/2022;1.579,64
10/31/2022;1.572,89
10/30/2022;1.590,47
10/29/2022;1.619,69
10/28/2022;1.554,47
10/27/2022;1.514,19
10/26/2022;1.566,16
10/25/2022;1.459,60
10/24/2022;1.343,88
10/23/2022;1.363,92
10/22/2022;1.313,64
10/21/2022;1.299,76
10/20/2022;1.282,87
10/19/2022;1.285,32
10/18/2022;1.310,81
10/17/2022;1.331,12
10/16/2022;1.305,95
10/15/2022;1.274,57
10/14/2022;1.296,74
10/13/2022;1.287,34
10/12/2022;1.294,57
10/11/2022;1.279,97
10/10/2022;1.290,04
10/09/2022;1.323,41
10/08/2022;1.315,05
10/07/2022;1.330,99
10/06/2022;1.352,27
10/05/2022;1.352,07
10/04/2022;1.361,48
10/03/2022;1.323,41
10/02/2022;1.275,74
10/01/2022;1.311,80
09/30/2022;1.328,73
09/29/2022;1.336,08
09/28/2022;1.337,37
09/27/2022;1.328,23
09/26/2022;1.337,06
09/25/2022;1.294,26
09/24/2022;1.317,00
09/23/2022;1.327,96
09/22/2022;1.326,44
09/21/2022;1.247,74
09/20/2022;1.323,33
09/19/2022;1.376,00
09/18/2022;1.335,01
09/17/2022;1.468,79
09/16/2022;1.434,01
09/15/2022;1.472,64
09/14/2022;1.637,92
09/13/2022;1.574,47
09/12/2022;1.716,42
09/11/2022;1.766,93
09/10/2022;1.774,38
09/09/2022;1.718,81
09/08/2022;1.634,85
09/07/2022;1.629,51
09/06/2022;1.557,85
09/05/2022;1.617,07
09/04/2022;1.578,89
09/03/2022;1.557,55
09/02/2022;1.575,34
09/01/2022;1.585,48
08/31/2022;1.555,12
08/30/2022;1.523,34
08/29/2022;1.552,60
08/28/2022;1.426,25
08/27/2022;1.490,83
08/26/2022;1.508,08
08/25/2022;1.695,37
08/24/2022;1.656,64
08/23/2022;1.664,89
08/22/2022;1.626,75
08/21/2022;1.618,25
08/20/2022;1.575,60
08/19/2022;1.609,48
08/18/2022;1.846,51
08/17/2022;1.834,18
08/16/2022;1.876,70
08/15/2022;1.900,25
08/14/2022;1.935,10
08/13/2022;1.983,50
08/12/2022;1.957,63
08/11/2022;1.880,28
08/10/2022;1.853,46
08/09/2022;1.702,80
08/08/2022;1.778,42
08/07/2022;1.700,29
